StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q21,Q1,Q3,Q2,Q4,Q5,Q5_6_TEXT,Q6,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_5_TEXT,Q8_1,Q8_2,Q8_3,Q8_4,Q8_5,Q10_1,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"By clicking ""I agree,"" you confirm that you understand all the information above and you agree to participate in this study",What is your gender?,What is your year of study?,What is your average monthly expense?,Which district do you live in?,"How do you go to HKU from your home? (If multiple ways are taken, choose the type of the last transfer you travel to HKU) - Selected Choice","How do you go to HKU from your home? (If multiple ways are taken, choose the type of the last transfer you travel to HKU) - Others (Please Specify): - Text","When you travel to HKU, how many transfers do you need to take? (Shifting MTR lines is also considered a transfer)","Please rank the importance of the following factors when you consider the transportation to HKU. (1 = most preferred, 5 = least preferred) - Time","Please rank the importance of the following factors when you consider the transportation to HKU. (1 = most preferred, 5 = least preferred) - Comfortability (With/ Without seat and number of transfers)","Please rank the importance of the following factors when you consider the transportation to HKU. (1 = most preferred, 5 = least preferred) - Price","Please rank the importance of the following factors when you consider the transportation to HKU. (1 = most preferred, 5 = least preferred) - Walking Distance","Please rank the importance of the following factors when you consider the transportation to HKU. (1 = most preferred, 5 = least preferred) - Others (Please Specify)","Please rank the importance of the following factors when you consider the transportation to HKU. (1 = most preferred, 5 = least preferred) - Others (Please Specify) - Text",Does the transportation method possess the attributes? - MTR,Does the transportation method possess the attributes? - Bus (KMB/ CityBus),Does the transportation method possess the attributes? - Shuttle Bus,Does the transportation method possess the attributes? - Taxi,Does the transportation method possess the attributes? - Tram,"Our group is currently proposing a shuttle bus service in the morning for students to travel to HKU directly from different main locations in each district (Close to the MTR stations), to provide a direct and comfortable transfer with seats to HKU every morning, this could also allow you to skip the long queue waiting for the lifts from HKU station to the University Street.

What is the maximum acceptable price for you? (a single ticket for the shuttle bus from the closest MTR station near you to HKU) - Maximum acceptable ticket price","Please rank your preference on the following transportation method. (1 = most preferred, 5 = least preferred) - MTR","Please rank your preference on the following transportation method. (1 = most preferred, 5 = least preferred) - Bus (KMB/ CityBus)","Please rank your preference on the following transportation method. (1 = most preferred, 5 = least preferred) - Shuttle Bus","Please rank your preference on the following transportation method. (1 = most preferred, 5 = least preferred) - Taxi","Please rank your preference on the following transportation method. (1 = most preferred, 5 = least preferred) - Tram"
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID21""}","{""ImportId"":""QID1""}","{""ImportId"":""QID3""}","{""ImportId"":""QID2""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_6_TEXT""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7_1""}","{""ImportId"":""QID7_2""}","{""ImportId"":""QID7_3""}","{""ImportId"":""QID7_4""}","{""ImportId"":""QID7_5""}","{""ImportId"":""QID7_5_TEXT""}","{""ImportId"":""QID8_1""}","{""ImportId"":""QID8_2""}","{""ImportId"":""QID8_3""}","{""ImportId"":""QID8_4""}","{""ImportId"":""QID8_5""}","{""ImportId"":""QID16_1""}","{""ImportId"":""QID17_1""}","{""ImportId"":""QID17_2""}","{""ImportId"":""QID17_3""}","{""ImportId"":""QID17_4""}","{""ImportId"":""QID17_5""}"
2022-11-09 09:06:51,2022-11-09 09:08:30,1,,100,99,1,2022-11-09 09:08:31,R_242IeoFstGqvxGt,,,,,22.2908,114.1501,preview,EN,1,1,4,2,4,1,,1,1,2,3,4,5,,"1,4",1,"2,3,4","1,3,4","1,2,3",10,1,3,2,4,5
2022-11-12 09:56:41,2022-11-12 09:59:57,0,124.217.189.192,100,196,1,2022-11-12 09:59:58,R_2b2xb2ErtbpW0ZQ,,,,,22.2908,114.1501,anonymous,EN,1,2,4,2,3,1,,2,1,3,4,2,5,,"1,2,5","3,4,5,6","3,4,5,6","1,2,3,4",3,20,2,1,3,4,5
2022-11-16 07:46:09,2022-11-16 07:48:59,0,119.247.126.14,100,170,1,2022-11-16 07:48:59,R_3IYHVsw3s2LSMi2,,,,,22.2908,114.1501,anonymous,EN,1,1,5,1,4,6,walk,1,1,3,4,2,5,,"1,2,4,5",4,5,1,5,3,1,3,4,5,2
2022-11-16 07:54:00,2022-11-16 07:58:58,0,182.239.119.112,100,297,1,2022-11-16 07:58:58,R_79ubxTPezkxhfqN,,,,,22.2908,114.1501,anonymous,EN,1,2,4,2,2,1,,2,1,4,2,3,5,,"1,3,5","2,5","2,4","1,3,4",5,10,1,2,3,4,5
2022-11-16 07:57:07,2022-11-16 07:59:18,0,14.0.168.219,100,130,1,2022-11-16 07:59:18,R_wT9S33bRYoQke4N,,,,,22.2908,114.1501,anonymous,EN,1,2,5,2,1,1,,2,1,3,2,4,5,,"1,2,3,4,5","2,3",3,3,5,7,1,2,3,4,5
2022-11-14 01:19:56,2022-11-16 08:02:10,0,61.244.192.118,100,196933,1,2022-11-16 08:02:12,R_3R4Qr9qs2ix8CC5,,,,,22.2908,114.1501,anonymous,EN,1,1,4,2,1,1,,3,1,2,3,4,5,,"1,2,5","3,5,6","1,2,3,4","1,3,4,6","3,4,5",25,1,3,2,4,5
2022-11-16 07:57:52,2022-11-16 08:04:49,0,14.0.157.203,100,417,1,2022-11-16 08:04:50,R_1luXZHozEX1e1Wh,,,,,22.2908,114.1501,anonymous,EN,1,2,4,2,1,1,,1,1,4,2,3,5,,"1,5",3,1,"1,6",5,4.5,1,2,3,5,4
2022-11-16 08:09:58,2022-11-16 08:14:12,0,175.159.183.251,100,254,1,2022-11-16 08:14:14,R_ehRD9NWs1fkeV5T,,,,,22.2908,114.1501,anonymous,EN,1,1,4,2,2,2,,1,1,2,3,4,5,,"2,4","1,4","1,2,3,4",6,"1,2,4",20,3,2,1,4,5
2022-11-16 08:18:20,2022-11-16 08:20:26,0,61.239.73.10,100,126,1,2022-11-16 08:20:28,R_3JxCKXCjy9Xt6IK,,,,,22.2908,114.1501,anonymous,EN,1,1,4,2,3,1,,2,1,3,2,4,5,,"1,2,4,5,6","3,4","1,3,4","1,3",5,20,1,2,3,4,5
2022-11-16 08:30:25,2022-11-16 08:33:55,0,175.159.213.130,100,210,1,2022-11-16 08:33:56,R_OlroItxz6P94Pnj,,,,,22.2908,114.1501,anonymous,EN,1,1,4,2,1,1,,2,1,2,3,4,5,,"1,2,5","1,3,4","1,3","1,3,6",5,15,1,2,3,4,5
2022-11-16 08:56:00,2022-11-16 08:57:53,0,14.0.228.110,100,112,1,2022-11-16 08:57:54,R_1P4Wf6RaFZsPHsV,,,,,22.2908,114.1501,anonymous,EN,1,1,4,4,3,4,,1,1,2,3,4,5,,5,3,2,1,1,15,4,3,2,1,5
2022-11-16 09:11:12,2022-11-16 09:13:53,0,147.8.248.229,100,161,1,2022-11-16 09:13:55,R_2rABZ2KUnyL1cyK,,,,,22.2908,114.1501,anonymous,EN,1,2,4,1,3,1,,3,1,4,3,2,5,,"1,2,5,6",5,"5,6",1,5,10,1,3,2,5,4
2022-11-16 15:43:04,2022-11-16 15:47:39,0,182.239.119.73,100,275,1,2022-11-16 15:47:40,R_2U58tlJzJOzKpt5,,,,,22.2908,114.1501,anonymous,EN,1,2,4,1,2,1,,3,1,2,3,4,5,,"1,2",3,3,"1,2,3,4,6",6,20,1,3,2,4,5
